"SP","EN","Tag","Count","History"
"Hola","Hello","ch01;greetings",0,NA
"Buenos días","Good morning","ch01;greetings",1,NA
"Buenas tardes","Good afternoon","ch01;greetings",1,NA
"Buenos Noches","Goodnight","ch01;greetings",0,NA
"Adiós","Bye","ch01;greetings",1,NA
"Hasta luego","See you later","ch01;greetings",0,NA
"¿Cómo estás (tú)?","How are you? (familiar)","ch01;greetings",1,NA
"¿Cómo está usted?","How are you? (formal)","ch01;greetings",0,NA
"¿Qué tal?","How are things?","ch01;greetings",0,NA
"Bien","Well","ch01;greetings",1,NA
"Muy bien","Very well","ch01;greetings",0,NA
"Mal","Badly","ch01;greetings",0,NA
"Muy mal","Very badly","ch01;greetings",3,NA
"Regular","Okay","ch01;greetings",0,NA
"Más o menos","More or less fine","ch01;greetings",2,NA
"Gracias","Thank you","ch01;greetings",0,NA
"Por favor","Please","ch01;greetings",0,NA
"Muy amable","Very kind","ch01;greetings",2,NA
"¿Cómo to llama?","What is your name? (familiar)","ch01;introductions",0,NA
"¿Cómo se llama?","What is your name? (formal)","ch01;introductions",1,NA
"Me llama","My name is","ch01;introductions",2,NA
"El nombre","The name","ch01;introductions",0,NA
"¿Y tú?","And you? (familiar)","ch01;introductions",1,NA
"¿Y usted?","And you? (formal)","ch01;introductions",0,NA
"Te presento a ","Let me introduce you to","ch01;introductions",1,NA
"Mucho gusto!","It's a pleasure","ch01;introductions",0,NA
"El gusto es mío!","The pleasure is mine!","ch01;introductions",0,NA
"Encantad@!","Delighted!","ch01;introductions",1,NA
"Igualmente!","Likewise!","ch01;introductions",2,NA
"Señor","Sir","ch01;introductions",0,NA
"Señora","Mrs.","ch01;introductions",0,NA
"Señorita","Miss","ch01;introductions",0,NA
"El día","The day","ch01;dates;object",1,NA
"La semana","The week","ch01;dates;object",2,NA
"El mes","the month","ch01;dates",3,NA
"El año","The year","ch01;dates",0,NA
"En","In","ch01;dates",1,NA
"Próxim@","Next","ch01;dates",2,NA
"La mañana","The morning","ch01;dates",1,NA
"La tarde","The afternoon","ch01;dates",0,NA
"La noche","The night","ch01;dates",0,NA
"Hoy","Today","ch01;dates",1,NA
"Mañana","Tomorrow","ch01;dates",2,NA
"El lunes","Monday","ch01;dates",1,NA
"El martes","Tuesday","ch01;dates",1,NA
"El miércoles","Wednesday","ch01;dates",1,NA
"El jueves","Thursday","ch01;dates",2,NA
"El vieres","Friday","ch01;dates",0,NA
"El sábado","Saturday","ch01;dates",2,NA
"El domingo","Sunday","ch01;dates",0,NA
"Enero","January","ch01;dates",0,NA
"Febrero","February","ch01;dates",0,NA
"Marzo","March","ch01;dates",0,NA
"Abril","April","ch01;dates",0,NA
"Mayo","May","ch01;dates",0,NA
"Junio","June","ch01;dates",1,NA
"Julio","July","ch01;dates",1,NA
"Agosto","August","ch01;dates",1,NA
"Septiembre","September","ch01;dates",1,NA
"Octubre","October","ch01;dates",1,NA
"Noviembre","November","ch01;dates",0,NA
"Diciembre","December","ch01;dates",1,NA
"Cero","Zero","ch01;numbers",3,NA
"Uno","One","ch01;numbers",2,NA
"Dos","Two","ch01;numbers",0,NA
"Tres","Three","ch01;numbers",0,NA
"Cuatro","Four","ch01;numbers",1,NA
"Cinco","Five","ch01;numbers",0,NA
"Seis","Six","ch01;numbers",1,NA
"Siete","Seven","ch01;numbers",1,NA
"Ocho","Eight","ch01;numbers",1,NA
"Nueve","Nine","ch01;numbers",1,NA
"Diez","Ten","ch01;numbers",0,NA
"Once","Eleven","ch01;numbers",2,NA
"Doce","Twelve","ch01;numbers",1,NA
"Trece","Thirteen","ch01;numbers",1,NA
"Catorce","Fourteen","ch01;numbers",0,NA
"Quince","Fifteen","ch01;numbers",2,NA
"Dieciséis","Sixteen","ch01;numbers",0,NA
"Diecisiete","Seventeen","ch01;numbers",1,NA
"Dieciocho","Eighteen","ch01;numbers",1,NA
"Diecinueve","Nineteen","ch01;numbers",2,NA
"Veinte","Twenty","ch01;numbers",0,NA
"Veintiuno","Twenty-one","ch01;numbers",1,NA
"Veintidós","Twenty-two","ch01;numbers",1,NA
"Veintitrés","Trenty-three","ch01;numbers",0,NA
"Veinticuartro","Twenty-four","ch01;numbers",1,NA
"Veinticinco","Twenty-five","ch01;numbers",2,NA
"Veintiséis","Twenty-six","ch01;numbers",0,NA
"Veintisiete","Twenty-seven","ch01;numbers",2,NA
"Veintiocho","Twenty-eight","ch01;numbers",0,NA
"Veintinueve","Twenty-nine","ch01;numbers",0,NA
"Treinta","Thirty","ch01;numbers",2,NA
"Treinta y uno","Thirty-one","ch01;numbers",0,NA
"Dos mil","Two thousand","ch01;numbers",0,NA
"¿Qué?","What?","ch01;questions",1,NA
"¿Dónde?","Where?","ch01;questions",1,NA
"¿Cuál?","Which? (singular)","ch01;questions",1,NA
"¿Cuáles?","Which? (plural)","ch01;questions",0,NA
"¿Cuándo?","When?","ch01;questions",0,NA
"¿Por qué?","Why?","ch01;questions",1,NA
"¿Quién?","Who?","ch01;questions",0,NA
"¿Como?","How?","ch01;questions",0,NA
"¿Cuánt@?","How much?","ch01;questions",1,NA
"?Cuánt@s?","How many?","ch01;questions",1,NA
"¿Cuál es la fecha de hoy?","What is today's date?","ch01;sentences",0,NA
"¿Que dia es hoy?","Whay day is it?","ch01;sentences",1,NA
"Es el treinta y uno de enero","It is the 31st of January","ch01;sentences",3,NA
"Es el quince de enero","It is the 15th of January","ch01;sentences",2,NA
"Es el diecisiete de abril","It is the 17th of April","ch01;sentences",2,NA
"Es el dieciséis de junio","It is the 16th of June","ch01;sentences",1,NA
"El el trece de septembre","It is the 13th of September","ch01;sentences",1,NA
"¿Cuando es tu cumpleaños?","When is your birthday?","ch01;sentences",2,NA
"¿Cuántos años tienes?","How old are you?","ch01;sentences",1,NA
"¿De dóndo eres?","Where are you from?","ch01;sentences",1,NA
"Cumpleaños","Birthday","ch01",0,NA
"Hoy","Today","ch01",2,NA
"La fecha","The date","ch01;object",0,NA
"Hoy es lunes","Today is Monday","ch01;sentences",2,NA
"Hoy es martes","Today is Tuesday","ch01;sentences",1,NA
"Hoy es miércoles","Today is Wednesday","ch01;sentences",1,NA
"Hoy es jueves","Today is Thursday","ch01;sentences",0,NA
"Hoy es viernes","Today is Friday","ch01;sentences",1,NA
"Hoy es sábado","Today is Saturday","ch01;sentences",0,NA
"Hoy es domingo","Today is Sunday","ch01;sentences",0,NA
"Ayudar en casa","To help around the house","ch02;activities;verb;inf",0,NA
"Cocinar","To cook","ch02;activities;verb;inf;regverb",0,NA
"Dibujar","To draw","ch02;activities;verb;inf;regverb",1,NA
"Escuchar música","To listen to music","ch02;activities;verb;inf",0,NA
"Estar con amigos","To be with friends","ch02;activities;verb;inf",1,NA
"Escribir","To write","ch02;activities;verb;inf;regverb",1,NA
"Estudiar","To study","ch02;activities;verb;inf;regverb",1,NA
"Hablar","To talk","ch02;activities;verb;inf;regverb",1,NA
"Hacer","To do","ch02;activities;verb;inf;regverb",0,NA
"Ir a la escuela","To go to school","ch02;activities;verb;inf",2,NA
"Ir al cine","To go to the movies","ch02;activities;verb;inf",0,NA
"Leer","To read","ch02;activities;verb;inf;regverb",2,NA
"Nadar","To swim","ch02;activities;verb;inf;regverb",2,NA
"Patinar","To skate","ch02;activities;verb;inf;regverb",2,NA
"Pintar","To paint","ch02;activities;verb;inf;regverb",1,NA
"Practica deportes","To play sports","ch02;activities;verb;inf",1,NA
"Trabajar","To work","ch02;activities;verb;inf",2,NA
"Tocar la guitarra","To play the guitar","ch02;activities;verb;inf",4,NA
"Ver la televisión","To watch TV","ch02;activities;verb;inf",1,NA
"Amable","Kind","ch02;personalityTraits",1,NA
"Artístic@","Artistic","ch02;personalityTraits",3,NA
"Atrevid@","Daring","ch02;personalityTraits",0,NA
"Callado@","Quiet","ch02;personalityTraits",1,NA
"Deportista","Sporty?","ch02;personalityTraits",2,NA
"Desordenad@","Unorganized","ch02;personalityTraits",0,NA
"Generos@","Generous","ch02;personalityTraits",0,NA
"Gracios@","Funny","ch02;personalityTraits",1,NA
"Impaciente","Impatient","ch02;personalityTraits",0,NA
"Ordenad@","Organized","ch02;personalityTraits",0,NA
"Paciente","Patient","ch02;personalityTraits",0,NA
"Perezos@","Lazy","ch02;personalityTraits",0,NA
"Prudente","Cautious","ch02;personalityTraits",0,NA
"Seri@","Serious","ch02;personalityTraits",0,NA
"Sociable","Sociable","ch02;personalityTraits",0,NA
"Tacañ@","Cheap/Stingy","ch02;personalityTraits",0,NA
"Trabajador@","Hard working","ch02;personalityTraits",2,NA
"¿De veras?","Really?","ch02;verify",0,NA
"¿En serio?","Seriously?","ch02;verify",1,NA
"(A mí) me gusta","I like","ch02;like",0,NA
"Me gusta más","I like more","ch02;like",0,NA
"Me gusta mucho","I like a lot","ch02;like",1,NA
"A mí también","I like it too","ch02;like",1,NA
"(A mí) no me gusta","I don't like","ch02;like",0,NA
"No me gusta mucho","I don't like very much","ch02;like",1,NA
"No me gusta nada","I don't like at all","ch02;like",0,NA
"No me gusta tampoco","I don't like either/neither","ch02;like",2,NA
"Sí","Yes","ch02;smallWords",1,NA
"No","No","ch02;smallWords",0,NA
"Quizá","Maybe","ch02;smallWords",0,NA
"Y","And","ch02;smallWords",1,NA
"o","Or","ch02;smallWords",1,NA
"A veces","Sometimes","ch02;smallWords",0,NA
"Muy","Very","ch02;smallWords",0,NA
"Pero","But","ch02;smallWords",1,NA
"Por eso","That's why/for that","ch02;smallWords",1,NA
"Pues","Well/then","ch02;smallWords",0,NA
"También","Also","ch02;smallWords",0,NA
"Tampoco","Neither/Either","ch02;smallWords",3,NA
"¿Qué te gusta hacer?","What do you like to do?","ch02;sentences",0,NA
"¿Y a ti?","And you? (as object)","ch02;sentences",1,NA
"¿Eres?","Are you?","ch02;sentences",1,NA
"¿Cómo eres?","What are you like?","ch02;sentences",1,NA
"Yo soy","I am (trait)","ch02;toBe",1,NA
"Tú eres","you are (singular, trait)","ch02;toBe",2,NA
"El es","He is (trait)","ch02;toBe",1,NA
"Ella es","She is (trait)","ch02;toBe",1,NA
"Nosotros somos","We are (trait)","ch02;toBe",2,NA
"Vosotors sois","You are (plural, trait)","ch02;toBe",1,NA
"Ellos son","They are (masulin, triat)","ch02;toBe",2,NA
"Ellas son","They are (feminin, triat)","ch02;toBe",0,NA
"Yo estoy","I am (state)","ch02;toBe",1,NA
"Tú estás","you are (singular, state)","ch02;toBe",0,NA
"El está","He is (state)","ch02;toBe",2,NA
"Ella está","She is (state)","ch02;toBe",3,NA
"Nosotros estamos","We are (state)","ch02;toBe",0,NA
"Vosotros estáis","You are (plural, state)","ch02;toBe",1,NA
"Ellos están","They are (maculin state)","ch02;toBe",0,NA
"Ellas están","They are (feminin state)","ch02;toBe",0,NA
"Me gusta","I like (singular object)","ch02;toLike",1,NA
"Me gustan","I like (plural object)","ch02;toLike",0,NA
"Te gusta","You like (singular, singular object)","ch02;toLike",0,NA
"Te gustan","You like (singular, plural object)","ch02;toLike",0,NA
"Le gusta","He/she likes (singular object)","ch02;toLike",0,NA
"Le gustan","He/she likes (plural object)","ch02;toLike",0,NA
"Nos gusta","We like (singular object)","ch02;toLike",0,NA
"Nos gustan","We like (plural object)","ch02;toLike",1,NA
"Os gusta","You like (plural, singular object)","ch02;toLike",0,NA
"Os gustan","You like (plural, plural object)","ch02;toLike",0,NA
"Les gusta","They like (singular object)","ch02;toLike",2,NA
"Les gustan","They like (plural object)","ch02;toLike",1,NA
"Me","Me (indirect object)","ch02;indirectObjectPronouns",1,NA
"Te","You (indirect object)","ch02;indirectObjectPronouns",0,NA
"Le","Him/her (indirect object)","ch02;indirectObjectPronouns",1,NA
"Nos","Us (indirect object)","ch02;indirectObjectPronouns",1,NA
"Os","You (plural) (indirect object)","ch02;indirectObjectPronouns",1,NA
"Les","Les (indirect object)","ch02;indirectObjectPronouns",0,NA
"Me encanta","Delights me (singular)","ch02;toDelight",0,NA
"Me encantan","Delights me (plural)","ch02;toDelight",0,NA
"Te encanta","Delights you (singular)","ch02;toDelight",1,NA
"Te encantan","Delights you (plural)","ch02;toDelight",0,NA
"Le encanta","Delights him/her (singular)","ch02;toDelight",1,NA
"Le encantan","Delights him/her (plural)","ch02;toDelight",0,NA
"Nos encanta","Delights us (singular)","ch02;toDelight",2,NA
"Nos encantan","Delights us (plural)","ch02;toDelight",1,NA
"Os encanta","Delights you (singular)","ch02;toDelight",2,NA
"Os encantan","Delights you (plural)","ch02;toDelight",1,NA
"Les encanta","Delights them (singular)","ch02;toDelight",0,NA
"Les encantan","Delights them (plural)","ch02;toDelight",1,NA
"Nos encanta la música","The music delights us","ch02;sentences",0,NA
"Soy tacaño","I am cheap/stingy","ch02;sentences",1,NA
"Ella es deportista","She is sporty","ch02;sentences",1,NA
"Nosotros somos atrevido","We are daring","ch02;sentences",2,NA
"Me gustan los coches","I like the cars","ch02;sentences",0,NA
"El almuerzo","Lunch","ch03;school",0,NA
"El Arte","Art","ch03;school",1,NA
"Las ciencias","Science","ch03;school",0,NA
"Las ciencias sociales","Social sciences","ch03;school",0,NA
"La clase de","Class of","ch03;school",0,NA
"La educación fisica","P.E.","ch03;school",0,NA
"El español","Spanish","ch03;school",0,NA
"El englés","English","ch03;school",0,NA
"Las matemáticas","Math","ch03;school",0,NA
"La música","Music","ch03;school",0,NA
"Dificil","Difficult","ch03;school",2,NA
"Fácil","Easy","ch03;school",1,NA
"Enseñar","To teach","ch03;school;regVerb",1,NA
"La tarea","Homework","ch03;school",2,NA
"La hora","Time (the hour)","ch03;time",2,NA
"Empezar","To start","ch03;time;regVerb",0,NA
"Empieza","It starts","ch03;time",0,NA
"Terminar","To end","ch03;time;regVerb",0,NA
"Termina","It ends","ch03;time",1,NA
"¿A qué hora?","At what time?","ch03;time",0,NA
"¿A qué hora empieza?","At what time does it start?","ch03;time",0,NA
"¿A qué hora termina?","At what time does it finish?","ch03;time",1,NA
"Termina a la una","It ends at one","ch03;time",0,NA
"Termina a las dos","It ends at two","ch03;time",0,NA
"Mediodía","Midday","ch03;time",0,NA
"Medianoche","In the middle of the night","ch03;time",0,NA
"El semestre","The semester","ch03;time;school",0,NA
"El primer selestre","The first semester","ch03;time;school",0,NA
"El segundo semestre","The second semester","ch03;time;school",0,NA
"La primera semana","The first week","ch03;time;school",1,NA
"¿Qué hora es?","What time is it?","ch03;time",0,NA
"Es la una","It's one","ch03;time",0,NA
"Son las dos","It's two","ch03;time",1,NA
"Cuarto","Quarter (15 mins)","ch03;time",0,NA
"Media","Half hour (30 mins)","ch03;time",0,NA
"De la mañana","In the morning","ch03;time",1,NA
"De la tarde","In the afternoon","ch03;time",1,NA
"De la noche","In the evening","ch03;time",1,NA
"Son las once y media de la noche","It's 11:30 in the evening","ch03;time",1,NA
"Cuarenta","Fourty","ch03;numbers",0,NA
"Cincuenta","Fifty","ch03;numbers",0,NA
"La agenda","The daily planner","ch03;things;officeSupplies;object",1,NA
"El archivador","The filing cabinet","ch03;things;officeSupplies;object",0,NA
"La calculadora","The calculator","ch03;things;officeSupplies;object",0,NA
"El calendario","The calendar","ch03;things;officeSupplies;object",0,NA
"La capeta","The file folder","ch03;things;officeSupplies;object",1,NA
"La computadora","The computer","ch03;things;officeSupplies;object",1,NA
"El cuaderno","The notebook","ch03;things;officeSupplies;object",0,NA
"El diccionario","The dictionary","ch03;things;officeSupplies;object",0,NA
"El escritorio","The desk","ch03;things;officeSupplies;object",0,NA
"El horario","The schedule","ch03;things;officeSupplies;object",2,NA
"El lápiz","The pencil","ch03;things;officeSupplies;object",0,NA
"Los lápices","The pencils","ch03;things;officeSupplies",0,NA
"El libro","The book","ch03;things;officeSupplies;object",1,NA
"El marcador","The marker","ch03;things;officeSupplies;object",0,NA
"La mochila","The backpack","ch03;things;officeSupplies;object",1,NA
"El papel","The paper","ch03;things;officeSupplies;object",0,NA
"La pluma","The pen","ch03;things;officeSupplies;object",0,NA
"El bolígrafo","The pen","ch03;things;officeSupplies;object",0,NA
"La regla","The ruler/rule","ch03;things;officeSupplies;object",0,NA
"La cita","The appointment","ch03;work",1,NA
"La escuela","The school","ch03;school;object",1,NA
"La reunión","The meeting","ch03;work",0,NA
"El trabjo","Work","ch03;work",0,NA
"El/La colega","The colleague","ch03;persons;work",0,NA
"El/La consejer@","The counselor","ch03;persons;work",0,NA
"El/La compañer@","The mate","ch03;persons;work",0,NA
"El/La director@","The director","ch03;persons;work;school",1,NA
"El/La emplead@","The employee","ch03;persons;work",1,NA
"El/La estudiante","The student","ch03;persons;work;school",0,NA
"El jefe/La jefa","The boss","ch03;persons;work",0,NA
"El/La maestro","The teacher","ch03;persons;work;school",1,NA
"El mentor/La mentora","The mentor","ch03;persons;work;school",1,NA
"El tutor/La turota","The tutor","ch03;persons;work;school",2,NA
"Importante","Important","ch03;Adjective",0,NA
"Nos encantan los coches","The cars delight us","ch02;sentences",2,NA
"No me gusta tampoco el presidente","I don't like the president either","ch02;sentences",1,NA
"La clase es en la mediodía","The class is at midday","ch02;sentences",3,NA
"Tu estas infermo","You are ill","ch02;sentences",0,NA
"Me encantan los libros","The books delight me","ch03;sentences",0,NA
"Nos gusta la casa","We like the house","ch02;sentences",1,NA
"Me gusta nadar","I like to swim","ch02;sentences",1,NA
"Nos gustan las casas","We like the houses","ch02;sentences",1,NA
"Me gusta empezar la clase","I like to start the calss","ch03;sentences",2,NA
"Le gusta ensenar","He likes to teach","ch03;sentences",1,NA
"Yo estoy en la habitacion","I am in the room","ch02;sentences",5,NA
"Les gustan las clases","They like the classes","ch02;sentences",0,NA
"Es una clase importante","It's an important class","ch02;sentences",0,NA
"A ella no le gusta nadar","She doesn't like to swim","ch02;sentences",2,NA
"A el le encanta la musica","The music delights him","ch02;sentences",1,NA
"Son las nuave y cuatro","It's 9:15","ch02;sentences",0,NA
"La regla esta en la mesa","The ruler is on the table","ch03;sentences",2,NA
"nos gusta ver la televicion","We like to watch television","ch02;sentences",0,NA
"Me encantan ver la televicion","Watching tv delights me","ch02;sentences",2,NA
"La clase termina a las dos","The class ends at two","ch02;sentences",2,NA
"El esta guapo","He is handsome","ch02;sentences",0,NA
"Me encanta el teatro","The theater delights me","ch02;sentences",0,NA
"Yo quiero hacer algo","I want to do something","ch02;sentences",0,NA
"Soy callado","I'm quiet","ch02;sentences",0,NA
"No me gusta mucho nadar","I don't like to swim very much","ch02;sentences",0,NA
"Nosotros somos ordenados","We are organized","ch02;sentences",1,NA
"Les gustan los gatos","They like the cats","ch02;sentences",1,NA
"A mi tampoco me gusta escribar","I don't like to write either","ch02;sentences",1,NA
"El es serio","He is serious","ch02;sentences",0,NA
"Me gusta pintar la casa","I like to paint the house","ch02;sentences",1,NA
"Os gusta mi pelo","You (all) like my hair","ch02;sentences",0,NA
"Ellas son seria","They (female) are serious","ch02;sentences",2,NA
"Ella es atrevida","She is daring","ch02;sentences",1,NA
"Ella es tacana","She is cheap","ch02;sentences",2,NA
"El payaso es gracioso","The clown is funny","ch01;sentences",3,NA
"Yo nado en el agua","I swim in the water","ch03;sentences",0,NA
"De donde es usted?","Where are you from?","ch01;sentences",0,NA
"El meastro es muy inteligente","The teacher is very smart","ch03;sentences",1,NA
"Feliz de cinco de mayo","Happy cinco de mayo","ch03;sentences",0,NA
"El marcador es verde","The marker is green","ch03;sentences",0,NA
"La clase es facil","The class is easy","ch03;sentences",0,NA
"El lapiz es amarillo","The pencil is yellow","ch03;sentences",1,NA
"Ellos son verde","They are green","ch02;sentences",3,NA
"Yo tengo nueve pesos","I have nine pesos","ch04;sentences",1,NA
"El lapiz es en el escritorio","The pencil is on the table","ch03;sentences",0,NA
"Ella esta sentada","She is seated","ch02;sentences",1,NA
"Es el veintinueve de enero","It is January 29th","ch02;sentences",1,NA
"Yo tengo","I have","ch03;toHave",1,NA
"Tú tienes","You have","ch03;toHave",0,NA
"Mi","My","ch03;Possesion",2,NA
"Tu","Your (singular)","ch03;Possesion",1,NA
"Su","His/hers/Your (formal)","ch03;Possesion",0,NA
"Nuestr@","Our","ch03;Possesion",1,NA
"Vuestr@","Your (plural)","ch03;Possesion",1,NA
"Su","Their","ch03;Possesion",0,NA
"Mi jefe","My boss","ch03;Possesion;work ",1,NA
"Tu jefe","Your boss","ch03;Possesion;work ",0,NA
"Nuestro jefe","Our (male) boss","ch03;Possesion;work ",0,NA
"Nuestra jefa","Our (female) boss","ch03;Possesion;work ",0,NA
"Tengo mis cuardernos en mi mochila","I have my notebooks in my backpack","ch03;sentences",1,NA
"Mi nombre es","My name is","ch03;sentences",0,NA
"¿cuál es su nombre?","What is his/her name?","ch03;sentences",1,NA
"¿Cómo se llame tu jefa?","What is your boss's name?","ch03",0,NA
"¿Cuál es el nombre de tu jefa?","What is the name of your boss (female)","ch03",0,NA
"El apodo","The nickname","ch03",1,NA
"El sobrenombre","The nickname","ch03",0,NA
"El mote","The nickname","ch03",0,NA
"Para","For","ch03",0,NA
"Tengo un lápiz para la clase","I have a pencil for the class","ch03;sentences",0,NA
"¿Tienes tu computadora para la reunión?","Do you have your computer for the meeting?","ch03;sentences",1,NA
"Necesitar","To need","ch03;regVerb",0,NA
"Yo necesito","I need","ch03",0,NA
"Tú necesitas","You need","ch03",1,NA
"Necesito un cuaderno para la reunión","I need a notebood for the meeting","ch03;sentences",0,NA
"¿Necsitas una agenda para el trabajo?","Do you need a daily planner for work?","ch03;sentences",0,NA
"Much@","A lot of/much","ch03",0,NA
"Much@s","A lot of/many","ch03",0,NA
"Poc@","A little","ch03",0,NA
"Poc@s","A few","ch03",0,NA
"¿Tienes mucha tarea?","Do you have a lot of homework?","ch03;sentences",1,NA
"¿Tienes muchas plumas?","Do you have a lot of pens?","ch03;sentences",2,NA
"Tengo poca tarea","I have a little homework","ch03;sentences",0,NA
"Tengo una pluma","I have one pen","ch03;sentences",1,NA
"Lo siento","I'm sorry","ch03",0,NA
"Lo siento mucho","I'm very sorry","ch03",0,NA
"Aquí","Here","ch03",1,NA
"Aquí está","Here it is","ch03",0,NA
"Allí","There","ch03",2,NA
"Allí está","There it is","ch03",0,NA
"Favorit@","Favorite","ch03",0,NA
"Más","More/most","ch03",0,NA
"Menos","Less/fewer/least","ch03",1,NA
"De","Of/from","ch03",0,NA
"De la escuela","From the school","ch03",0,NA
"A","To (direction)","ch03",2,NA
"A la escuela","To the school","ch03",0,NA
"De lunes a viernes","From Monday to Friday","ch03;days",1,NA
"Yo hablo","I speak","ch03;toSpeak;verb;conj",1,NA
"Tú hablas","You speak","ch03;toSpeak;verb;conj",0,NA
"El habla","He speaks","ch03;toSpeak;verb;conj",0,NA
"Ella habla","She speaks","ch03;toSpeak;verb;conj",0,NA
"Usted habla","You (formal) speak","ch03;toSpeak;verb;conj",1,NA
"Nosotros hablamos","We speak","ch03;toSpeak;verb;conj",3,NA
"Vosotros habláis","You (plural) speak","ch03;toSpeak;verb;conj",1,NA
"Ellos hablan","They speak","ch03;toSpeak;verb;conj",0,NA
"Ellas hablan","They speak","ch03;toSpeak;verb;conj",0,NA
"Ustedes hablan","You (formal) speak","ch03;toSpeak;verb;conj",0,NA
"Yo como","I eat","ch03;toEat;verb;conj",0,NA
"Tú comes","You eat","ch03;toEat;verb;conj",0,NA
"El come","He eats","ch03;toEat;verb;conj",0,NA
"Ella come","She eats","ch03;toEat;verb;conj",1,NA
"Usted come","You (formal) eat","ch03;toEat;verb;conj",0,NA
"Nosotros comenos","We eat","ch03;toEat;verb;conj",2,NA
"Vosotros coméis","You (plural) eat","ch03;toEat;verb;conj",0,NA
"Ellos comen","They eat","ch03;toEat;verb;conj",0,NA
"Ellas comen","They eat","ch03;toEat;verb;conj",0,NA
"Ustedes comen","You (formal) eat","ch03;toEat;verb;conj",0,NA
"Vivir","To live","ch03;toLive;verb;conj;regVerb",0,NA
"Yo vivo","I live","ch03;toLive;verb;conj",1,NA
"Tú vives","You live","ch03;toLive;verb;conj",1,NA
"El vive","He lives","ch03;toLive;verb;conj",0,NA
"Ella vive","She lives","ch03;toLive;verb;conj",1,NA
"Usted vive","You (formal) live","ch03;toLive;verb;conj",0,NA
