"SP","EN","Tag","Count","History"
"Nosotros vivimos","We live","ch03;toLive;verb;conj",1,NA
"Vosotros vivis","You (plural) live","ch03;toLive;verb;conj",0,NA
"Ellos viven","They live","ch03;toLive;verb;conj",0,NA
"Ellas viven","They live","ch03;toLive;verb;conj",0,NA
"Ustedes viven","You (plural, formal) live","ch03;toLive;verb;conj",0,NA
"Ir","To go","ch04;togo;verb;irregVerb",0,NA
"Yo voy","I go","ch04;togo;verb;irregVerb",1,NA
"Tú vas","You go","ch04;togo;verb;irregVerb",0,NA
"El va","He goes","ch04;togo;verb;irregVerb",3,NA
"Ella va","She goes","ch04;togo;verb;irregVerb",1,NA
"Usted va","You (formal) go","ch04;togo;verb;irregVerb",2,NA
"Nosotros vamos","We go","ch04;togo;verb;irregVerb",2,NA
"Vosotros Vais","You (plural) go","ch04;togo;verb;irregVerb",0,NA
"Ellos van","They go","ch04;togo;verb;irregVerb",2,NA
"Ellas van","They go","ch04;togo;verb;irregVerb",0,NA
"Ustedes van","You (plural formal) go","ch04;togo;verb;irregVerb",1,NA
"Poder","To be able","ch04;toBeAble;verb;irregVerb",1,NA
"Yo pudeo","I am able","ch04;toBeAble;verb;irregVerb",0,NA
"Tú puedes","You are able","ch04;toBeAble;verb;irregVerb",2,NA
"El puede","He is able","ch04;toBeAble;verb;irregVerb",1,NA
"Ella puede","She is able","ch04;toBeAble;verb;irregVerb",2,NA
"Usted puede","You (formal) are able","ch04;toBeAble;verb;irregVerb",0,NA
"Nosotros podemos","We are able","ch04;toBeAble;verb;irregVerb",0,NA
"Vosotros podéis","You (plural) are able","ch04;toBeAble;verb;irregVerb",1,NA
"Ellos pueden","They (masculin) are able","ch04;toBeAble;verb;irregVerb",0,NA
"Ellas pueden","They (feminine) are able","ch04;toBeAble;verb;irregVerb",1,NA
"Ustedes pueden","You (plural,formal) are able","ch04;toBeAble;verb;irregVerb",0,NA
"Querer","To want","ch04;toWant;verb;irregVerb",2,NA
"Yo quiero","I want","ch04;toWant;verb;irregVerb",1,NA
"Tú quieres","You want","ch04;toWant;verb;irregVerb",0,NA
"El quiere","He wants","ch04;toWant;verb;irregVerb",4,NA
"Ella quiere","She wants","ch04;toWant;verb;irregVerb",4,NA
"Usted quiere","You (formal) want","ch04;toWant;verb;irregVerb",4,NA
"Nosotros queremos","We want","ch04;toWant;verb;irregVerb",2,NA
"Vosotros queréis","You (plural) want","ch04;toWant;verb;irregVerb",3,NA
"Ellos quieren","They (masculin) want","ch04;toWant;verb;irregVerb",1,NA
"Ellas quieren","They (feminine) want","ch04;toWant;verb;irregVerb",2,NA
"Ustedes quieren","You (plural,formal) want","ch04;toWant;verb;irregVerb",1,NA
"Yo escucho musica","I listen to music","ch03;sentences",0,NA
"¿Te gusta trabajar?","Do you like to work?","ch03;sentences",0,NA
"Nosotros llegamos tarde por la cita","We arrived late for the appointment","ch03;sentences",0,NA
"La estudiante estudia arte","The student (f) studies art","ch03;sentences",1,NA
"Quizas mas tarde","Maybe later","ch03;sentences",0,NA
"La clase de matimaticas","Math class","ch03;sentences",2,NA
"Nosotros estamos tarde para la cita","We are late for the appointment","ch03;sentences",0,NA
"Yo puedo mirar a gatos","I can look at cats","ch03;sentences",0,NA
"No tú ni puedes mirar a gatos","No you can not look at cats","ch03;sentences",0,NA
"Aqui esta la estudianta con la computadora","Here is the student (f) with the computer","ch03;sentences",1,NA
"Quiza Yo hablo espanol","Maybe I speak spanish. ","ch03;sentences",0,NA
"Te gusta cerveza?","Do you like beer?","ch03;sentences",0,NA
"Son los dos en viernes","It's 2 on a Friday. ","ch03;sentences",0,NA
"Yo tengo diecinueve anos hoy!","I am 19 today! ","ch03;sentences",1,NA
"El habla de gatos","He talks about cats","ch03;sentences",3,NA
"El esta contento","He is happy","ch03;sentences",0,NA
"Ellos quieren fiesta","They want to party","ch03;sentences",0,NA
"Yo tengo un reunion con mi mentor","I have a meeting with my mentor","ch03;sentences",0,NA
"Yo creo en la ciencia","I believe in science","ch03;sentences",2,NA
"Yo leo el libro","I read the book","ch03;sentences",0,NA
"","The accident is horrible","",0,NA
"","The television is big","",0,NA
"","The animal is small","",0,NA
"","The bicycle is good","",0,NA
"","The café is exotic","",0,NA
"","The camera is expensive","",0,NA
"","The sofa is comfortable","",0,NA
"","The crocodile is big","",0,NA
"","The dolar is strong","",0,NA
"","The family is extrodinary","",0,NA
"","The piano is pretty","",0,NA
"","The island is exotic","",0,NA
"","The restaurant is tasty","",0,NA
"","The music is pretty","",0,NA
"","The telephone is expensive","",0,NA
"","I am daring","",0,NA
"","You are artistic","",0,NA
"","He is quiet","",0,NA
"","She is (plays sports)","",0,NA
"","we are generous","",0,NA
"","You are funny I am imptient","",0,NA
"","I am not organized","",0,NA
"","I am very lazy","",0,NA
"","We are cautious","",0,NA
"","They are social","",0,NA
"","She is hard working","",0,NA
"","We are kind","",0,NA
"","They (f) are artistic","",0,NA
"","She is cheap","",0,NA
"","They (f) are hard working","",0,NA
"Me gusta","I like","ch03;personX",0,NA
"Te gusta","You like","ch03;personX",0,NA
"Le gusta","He likes","ch03;personX",0,NA
"Le gusta","She likes","ch03;personX",0,NA
"Yo quiero","I want","ch03;personX",1,NA
"Tú quieres","You want","ch03;personX",0,NA
"El quiere","He wants","ch03;personX",1,NA
"Ella quiere","She wants","ch03;personX",1,NA
"Yo puedo","I can","ch03;personX",0,NA
"Tú puedes","You can","ch03;personX",0,NA
"El puede","He can","ch03;personX",0,NA
"Ella puede","She can","ch03;personX",0,NA
"Yo tengo que","I have to ","ch03;personX",1,NA
"Tú tienes que","You have to","ch03;personX",0,NA
"El tiene","He has to","ch03;personX",0,NA
"Ella tiene","She has to","ch03;personX",1,NA
"Yo sé","I know","ch03;personX",0,NA
"Tú sabes","You know","ch03;personX",0,NA
"El sabe","He knows","ch03;personX",0,NA
"Ella sabe","She knows","ch03;personX",0,NA
"Yo necesito","I need","ch03;personX",1,NA
"Tú necesitas","You need","ch03;personX",0,NA
"El necesita","He needs","ch03;personX",1,NA
"Ella necesita","She needs","ch03;personX",0,NA
"Yo prefiero","I prefer","ch03;personX",0,NA
"Tú prefieres","You prefer","ch03;personX",0,NA
"El prefiere","He prefers","ch03;personX",0,NA
"Ella prefiere","She prefers","ch03;personX",0,NA
"Yo voy a","I am going to","ch03;personX",0,NA
"Tú vas a","You are going to","ch03;personX",0,NA
"El va a","He is going to","ch03;personX",0,NA
"Ella va","She is going to","ch03;personX",0,NA
"Le gusta estar con amigos","She likes (to) be with friends","personXInf;generated",0,NA
"Tú sabes ir al cine","You know (to) go (to) the movies","personXInf;generated",0,NA
"Tú prefieres estar con amigos","You prefer (to) be with friends","personXInf;generated",0,NA
"El puede escuchar música","He can (to) listen (to) music","personXInf;generated",0,NA
"Le gusta ir a la escuela","She likes (to) go (to) school","personXInf;generated",0,NA
"Ella prefiere pintar","She prefers (to) paint","personXInf;generated",0,NA
"Ella tiene patinar","She has to (to) skate","personXInf;generated",0,NA
"Yo sé pintar","I know (to) paint","personXInf;generated",0,NA
"Ella necesita patinar","She needs (to) skate","personXInf;generated",0,NA
"Ella puede pintar","She can (to) paint","personXInf;generated",0,NA
"Ella puede nadar","She can (to) swim","personXInf;generated",0,NA
"Yo sé ayudar en casa","I know (to) help around the house","personXInf;generated",0,NA
"Yo voy a patinar","I am going to (to) skate","personXInf;generated",0,NA
"Yo quiero nadar","I want (to) swim","personXInf;generated",0,NA
"El necesita ayudar en casa","He needs (to) help around the house","personXInf;generated",0,NA
"Tú vas a estar con amigos","You are going to (to) be with friends","personXInf;generated",0,NA
"El va a ir a la escuela","He is going to (to) go (to) school","personXInf;generated",0,NA
"Tú necesitas patinar","You need (to) skate","personXInf;generated",0,NA
"Le gusta tocar la guitarra","She likes (to) play the guitar","personXInf;generated",0,NA
"Te gusta ver la televisión","You like (to) watch tv","personXInf;generated",0,NA
"Me gusta patinar","I like (to) skate","personXInf;generated",0,NA
"El tiene pintar","He has to (to) paint","personXInf;generated",0,NA
"Le gusta nadar","She likes (to) swim","personXInf;generated",0,NA
"Tú necesitas trabajar","You need (to) work","personXInf;generated",0,NA
"El necesita trabajar","He needs (to) work","personXInf;generated",0,NA
"Le gusta nadar","He likes (to) swim","personXInf;generated",0,NA
"Ella necesita practica deportes","She needs (to) play sports","personXInf;generated",0,NA
"Tú vas a leer","You are going to (to) read","personXInf;generated",0,NA
"Tú tienes que ir al cine","You have to (to) go (to) the movies","personXInf;generated",0,NA
"Yo tengo que nadar","I have to  (to) swim","personXInf;generated",0,NA
"Tú prefieres dibujar","You prefer (to) draw","personXInf;generated",0,NA
"Ella puede patinar","She can (to) skate","personXInf;generated",0,NA
"Yo necesito hablar","I need (to) talk","personXInf;generated",0,NA
"Yo prefiero escuchar música","I prefer (to) listen (to) music","personXInf;generated",0,NA
"Tú prefieres hablar","You prefer (to) talk","personXInf;generated",1,NA
"Yo quiero practica deportes","I want (to) play sports","personXInf;generated",0,NA
"Ella sabe tocar la guitarra","She knows (to) play the guitar","personXInf;generated",0,NA
"Le gusta estar con amigos","She likes (to) be with friends","personXInf;generated",0,NA
"Yo quiero hacer","I want (to) do","personXInf;generated",0,NA
"Yo necesito estudiar","I need (to) study","personXInf;generated",0,NA
"El sabe patinar","He knows (to) skate","personXInf;generated",0,NA
"Ella puede tocar la guitarra","She can (to) play the guitar","personXInf;generated",0,NA
"Yo prefiero estar con amigos","I prefer (to) be with friends","personXInf;generated",0,NA
"Ella quiere leer","She wants (to) read","personXInf;generated",0,NA
"Tú prefieres nadar","You prefer (to) swim","personXInf;generated",0,NA
"Tú sabes escribir","You know (to) write","personXInf;generated",0,NA
"Ella puede ir al cine","She can (to) go (to) the movies","personXInf;generated",0,NA
"Ella tiene estar con amigos","She has to (to) be with friends","personXInf;generated",0,NA
"Me gusta ver la televisión","I like (to) watch tv","personXInf;generated",0,NA
"El prefiere dibujar","He prefers (to) draw","personXInf;generated",0,NA
"El prefiere estar con amigos","He prefers (to) be with friends","personXInf;generated",0,NA
"Yo necesito tocar la guitarra","I need (to) play the guitar","personXInf;generated",0,NA
"Ella tiene patinar","She has to (to) skate","personXInf;generated",0,NA
"Tú sabes cocinar","You know (to) cook","personXInf;generated",0,NA
"Yo voy a cocinar","I am going to (to) cook","personXInf;generated",0,NA
"Ella puede dibujar","She can (to) draw","personXInf;generated",0,NA
"Yo tengo que hablar","I have to  (to) talk","personXInf;generated",0,NA
"Ella quiere escribir","She wants (to) write","personXInf;generated",0,NA
"Tú quieres patinar","You want (to) skate","personXInf;generated",0,NA
"Tú necesitas ver la televisión","You need (to) watch tv","personXInf;generated",0,NA
"El sabe escuchar música","He knows (to) listen (to) music","personXInf;generated",0,NA
"El va a patinar","He is going to (to) skate","personXInf;generated",0,NA
"Yo tengo que ayudar en casa","I have to  (to) help around the house","personXInf;generated",0,NA
"El va a ir a la escuela","He is going to (to) go (to) school","personXInf;generated",0,NA
"El tiene hacer","He has to (to) do","personXInf;generated",0,NA
"Yo quiero escuchar música","I want (to) listen (to) music","personXInf;generated",0,NA
"Le gusta estar con amigos","He likes (to) be with friends","personXInf;generated",0,NA
"El quiere tocar la guitarra","He wants (to) play the guitar","personXInf;generated",0,NA
"Ella prefiere escribir","She prefers (to) write","personXInf;generated",0,NA
"Me gusta estar con amigos","I like (to) be with friends","personXInf;generated",0,NA
"Tú tienes que escuchar música","You have to (to) listen (to) music","personXInf;generated",0,NA
"Ella puede nadar","She can (to) swim","personXInf;generated",0,NA
"Ella necesita hablar","She needs (to) talk","personXInf;generated",0,NA
"Tú tienes que hablar","You have to (to) talk","personXInf;generated",0,NA
"Ella necesita escuchar música","She needs (to) listen (to) music","personXInf;generated",0,NA
"Ella tiene estudiar","She has to (to) study","personXInf;generated",0,NA
"Yo tengo que hablar","I have to  (to) talk","personXInf;generated",0,NA
"Yo voy a cocinar","I am going to (to) cook","personXInf;generated",0,NA
"Tú quieres estar con amigos","You want (to) be with friends","personXInf;generated",0,NA
"Tú vas a estar con amigos","You are going to (to) be with friends","personXInf;generated",0,NA
"Tú necesitas cocinar","You need (to) cook","personXInf;generated",0,NA
"Tú quieres hacer","You want (to) do","personXInf;generated",0,NA
"El tiene ir al cine","He has to (to) go (to) the movies","personXInf;generated",0,NA
"Ella puede ayudar en casa","She can (to) help around the house","personXInf;generated",0,NA
"Ella quiere ver la televisión","She wants (to) watch tv","personXInf;generated",0,NA
"Ella puede ver la televisión","She can (to) watch tv","personXInf;generated",0,NA
"Le gusta pintar","He likes (to) paint","personXInf;generated",0,NA
"Tú sabes ir al cine","You know (to) go (to) the movies","personXInf;generated",0,NA
"Yo tengo que nadar","I have to  (to) swim","personXInf;generated",0,NA
"Yo necesito estudiar","I need (to) study","personXInf;generated",0,NA
"Tú quieres escribir","You want (to) write","personXInf;generated",0,NA
"Yo sé practica deportes","I know (to) play sports","personXInf;generated",0,NA
"Tú vas a ir al cine","You are going to (to) go (to) the movies","personXInf;generated",0,NA
"Tú puedes pintar","You can (to) paint","personXInf;generated",0,NA
"Ella puede pintar","She can (to) paint","personXInf;generated",0,NA
"Tú prefieres trabajar","You prefer (to) work","personXInf;generated",0,NA
"El tiene escuchar música","He has to (to) listen (to) music","personXInf;generated",0,NA
"Tú sabes practica deportes","You know (to) play sports","personXInf;generated",0,NA
"Yo tengo que ver la televisión","I have to  (to) watch tv","personXInf;generated",0,NA
"El va a ayudar en casa","He is going to (to) help around the house","personXInf;generated",0,NA
"Yo Cocino; Té Cocinas; El Cocina","I cook; You cook; He cooks","conj;generated",0,NA
"Yo Dibujo; Té Dibujas; El Dibuja","I draw; You draw; He draws","conj;generated",0,NA
"Yo Escribo; Té Escribes; El Escribe","I write; You write; He writes","conj;generated",0,NA
"Yo Estudio; Tu Estudias; El Estudia","I study; You study; He studies","conj;generated",0,NA
"Yo Hablo; Tu Hablas; El Habla","I talk; You talk; He talks","conj;generated",0,NA
"Yo Haco; Té Haces; El Hace","I do; You do; He dos","conj;generated",0,NA
"Yo Leo; Tu Lees; El Lee","I read; You read; He reads","conj;generated",0,NA
"Yo Nado; Té Nadas; El Nada","I swim; You swim; He swims","conj;generated",0,NA
"Yo Patino; Té Patinas; El Patina","I skate; You skate; He skates","conj;generated",0,NA
"Yo Pinto; Tu Pintas; El Pinta","I paint; You paint; He paints","conj;generated",0,NA
"Siempre","Always","frequency",0,NA
"Nunca","Never","frequency",0,NA
"Casi","Almost","frequency",0,NA
"Aveces","Sometimes","frequency",0,NA
"Todos los días","Every day","frequency",0,NA
"Todos las semanas","Every week","frequency",0,NA
"Todos los años","Every year","frequency",0,NA
"frecuentamente","frequently","frequency",0,NA
"Con mucho frecuenta","Regularly","frequency",0,NA
"Muchas veces","Many times","frequency",0,NA
"Pocas veces","Sometimes","frequency",0,NA
"La semana que vienes","The coming week","frequency",0,NA
"La semana proxima","Next week","frequency",0,NA
"La mesa","The table","object",0,NA
"Esas libros","Those books","thisEtc;generated",0,NA
"Esta papel","This paper","thisEtc;generated",0,NA
"Esa mesa","That table","thisEtc;generated",0,NA
"Esta mesa","This table","thisEtc;generated",0,NA
"Estas escritorios","These desks","thisEtc;generated",0,NA
"Esas escuelas","Those schools","thisEtc;generated",0,NA
"Esa computadora","That computer","thisEtc;generated",0,NA
"Esas semanas","Those weeks","thisEtc;generated",0,NA
"Esa semana","That week","thisEtc;generated",0,NA
"Estas calendarios","These calendars","thisEtc;generated",0,NA
"Esto diccionario","This dictionary","thisEtc;generated",0,NA
"Esas archivadors","Those cabinets","thisEtc;generated",0,NA
"Ese día","That day","thisEtc;generated",0,NA
"Esa calculadora","That calculator","thisEtc;generated",1,NA
"Esta capeta","This folder","thisEtc;generated",0,NA
"Esa bolígrafo","That pen","thisEtc;generated",0,NA
"Esas libros","Those books","thisEtc;generated",0,NA
"Esta archivador","This cabinet","thisEtc;generated",0,NA
"Esa capeta","That folder","thisEtc;generated",0,NA
"Esa archivador","That cabinet","thisEtc;generated",0,NA
"Estas papels","These papers","thisEtc;generated",0,NA
"Esa semana","That week","thisEtc;generated",0,NA
"Esa marcador","That marker","thisEtc;generated",0,NA
"Esas agendas","Those planners","thisEtc;generated",0,NA
"Esa agenda","That planner","thisEtc;generated",0,NA
"Estas capetas","These folders","thisEtc;generated",1,NA
"Estas reglas","These ruler/rules","thisEtc;generated",0,NA
"Esas cuadernos","Those notebooks","thisEtc;generated",1,NA
"Esas semanas","Those weeks","thisEtc;generated",0,NA
"Esa mochila","That paperback","thisEtc;generated",0,NA
"Esa pluma","That pen","thisEtc;generated",0,NA
"Esa papel","That paper","thisEtc;generated",0,NA
"Esa calculadora","That calculator","thisEtc;generated",0,NA
"Esa cuaderno","That notebook","thisEtc;generated",0,NA
"Esta fecha","This date","thisEtc;generated",0,NA
"Esas escritorios","Those desks","thisEtc;generated",0,NA
"Estas marcadors","These markers","thisEtc;generated",0,NA
"Esa semana","That week","thisEtc;generated",0,NA
"Esta lápiz","This pencil","thisEtc;generated",0,NA
"Esa capeta","That folder","thisEtc;generated",0,NA
"Esta escuela","This school","thisEtc;generated",0,NA
"Esa lápiz","That pencil","thisEtc;generated",0,NA
"Esta escritorio","This desk","thisEtc;generated",0,NA
"Esas agendas","Those planners","thisEtc;generated",0,NA
"Estas cuadernos","These notebooks","thisEtc;generated",0,NA
"Estas cuadernos","These notebooks","thisEtc;generated",0,NA
"Esos libros","Those books","thisEtc;generated",1,NA
"Esta día","This day","thisEtc;generated",0,NA
"Estas días","These days","thisEtc;generated",0,NA
"Esa horario","That schedule","thisEtc;generated",0,NA
"Tú necesitas esta archivador","You need this cabinet","personXThisEtc;generated",0,NA
"Yo sé esta libro","I know this book","personXThisEtc;generated",0,NA
"El tiene estas mesas","He has to these tables","personXThisEtc;generated",0,NA
"Tú tienes que pintar esta escritorio","You have to paint this desk","personXThisEtc;generated",0,NA
"El tiene esta escritorio","He has to this desk","personXThisEtc;generated",0,NA
"Te gusta esa lápiz","You like that pencil","personXThisEtc;generated",0,NA
"Ella necesita esa mochila","She needs that paperback","personXThisEtc;generated",0,NA
"Ella va esta fecha","She is going to this date","personXThisEtc;generated",0,NA
"Yo tengo que esta cuaderno","I have to  this notebook","personXThisEtc;generated",0,NA
"El quiere esa fecha","He wants that date","personXThisEtc;generated",0,NA
"El tiene esta papel","He has to this paper","personXThisEtc;generated",0,NA
"El tiene esas capetas","He has to those folders","personXThisEtc;generated",0,NA
"El va a estas papels","He is going to these papers","personXThisEtc;generated",0,NA
"El prefiere esta computadora","He prefers this computer","personXThisEtc;generated",0,NA
"Tú necesitas esta mesa","You need this table","personXThisEtc;generated",0,NA
"El tiene esas diccionarios","He has to those dictionarys","personXThisEtc;generated",0,NA
"El necesita esa escritorio","He needs that desk","personXThisEtc;generated",0,NA
"Ella tiene esa marcador","She has to that marker","personXThisEtc;generated",0,NA
"Ella prefiere estas calendarios","She prefers these calendars","personXThisEtc;generated",0,NA
"El quiere estas archivadors","He wants these cabinets","personXThisEtc;generated",0,NA
"Ella sabe estas computadoras","She knows these computers","personXThisEtc;generated",0,NA
"Le gusta esta bolígrafo","He likes this pen","personXThisEtc;generated",0,NA
"El sabe esta computadora","He knows this computer","personXThisEtc;generated",0,NA
"Yo tengo que esta papel","I have to  this paper","personXThisEtc;generated",0,NA
"Yo tengo que esas reglas","I have to  those ruler/rules","personXThisEtc;generated",0,NA
"Yo quiero estas escritorios","I want these desks","personXThisEtc;generated",0,NA
"Tú tienes que esa calculadora","You have to that calculator","personXThisEtc;generated",0,NA
"Tú necesitas esas calculadoras","You need those calculators","personXThisEtc;generated",0,NA
"Te gusta esas marcadors","You like those markers","personXThisEtc;generated",0,NA
"Me gusta esa horario","I like that schedule","personXThisEtc;generated",0,NA
"Tú vas a estas cuadernos","You are going to these notebooks","personXThisEtc;generated",0,NA
"Ella tiene esas mesas","She has to those tables","personXThisEtc;generated",0,NA
"Me gusta esta escuela","I like this school","personXThisEtc;generated",0,NA
"Tú sabes esas plumas","You know those pens","personXThisEtc;generated",0,NA
"Tú puedes esa diccionario","You can that dictionary","personXThisEtc;generated",0,NA
"Tú tienes que esta lápiz","You have to this pencil","personXThisEtc;generated",0,NA
"Yo quiero esta semana","I want this week","personXThisEtc;generated",0,NA
"Me gusta esa pluma","I like that pen","personXThisEtc;generated",0,NA
"El puede esa mochila","He can that paperback","personXThisEtc;generated",0,NA
"Yo voy a esas semanas","I am going to those weeks","personXThisEtc;generated",0,NA
"Le gusta esas libros","He likes those books","personXThisEtc;generated",0,NA
"Ella necesita esta lápiz","She needs this pencil","personXThisEtc;generated",0,NA
"Ella prefiere estas mochilas","She prefers these paperbacks","personXThisEtc;generated",0,NA
"Tú vas a estas reglas","You are going to these ruler/rules","personXThisEtc;generated",0,NA
"El tiene esa lápiz","He has to that pencil","personXThisEtc;generated",0,NA
"Tú sabes esas computadoras","You know those computers","personXThisEtc;generated",0,NA
"Yo quiero esas reglas","I want those ruler/rules","personXThisEtc;generated",0,NA
"Ella puede esta papel","She can this paper","personXThisEtc;generated",0,NA
"Yo voy a esos libros","I am going to those books","personXThisEtc;generated",1,NA
"Tú vas a esas mesas","You are going to those tables","personXThisEtc;generated",0,NA
"Estoy enfermo","I (m) am ill","ch04;toBeState",0,NA
"Estoy enferma","I (female) am ill","ch04;toBeState",2,NA
"Estoy cansado","I (masculin) am tired","ch04;toBeState",3,NA
"Estoy cansada","I (female) am tired","ch04;toBeState",0,NA
"Estas contento","You (masculin) are happy","ch04;toBeState",2,NA
"Estas contenta","You (f) are happy","ch04;toBeState",1,NA
"Esta deprimido","He is depressed","ch04;toBeState",0,NA
"Esta deprimida","She is depressed","ch04;toBeState",0,NA
"Estoy emocionado","I (m) am excited","ch04;toBeState",2,NA
"Estoy emocionada","I (f) am excited","ch04;toBeState",4,NA
"Esta frustrado","He is frustrated","ch04;toBeState",1,NA
"Estas frustrada","You (f) are frustrated","ch04;toBeState",1,NA
"Estoy harto","I (m) am fed up","ch04;toBeState",2,NA
"Estoy harta","I (f) am fed up","ch04;toBeState",0,NA
"Estas lista?","Are you (f) ready?","ch04;toBeState",1,NA
